6258142389674140|09|27|661
6258142389679537|05|26|419
6258142389670403|09|30|462
6258142389677200|01|27|807
6258142389679024|04|27|102
6258142389675394|12|27|984
6258142389670643|07|28|341
6258142389670858|12|30|323
6258142389677812|04|25|578
6258142389676863|09|30|193
6258142389679024|06|29|476
6258142389677077|07|30|714
6258142389672946|12|28|660
6258142389672813|07|28|586
6258142389676012|11|27|159
6258142389676699|07|26|375
6258142389677655|03|29|204
6258142389674694|06|28|488
6258142389679917|10|26|233
6258142389677937|06|27|273
6258142389675873|12|29|648
6258142389670130|07|29|859
6258142389673860|07|28|912
6258142389671971|06|27|142
6258142389675881|03|28|340
6258142389677887|06|27|882
6258142389673951|06|30|823
6258142389672771|01|27|115
6258142389677549|06|29|344
6258142389679719|06|29|357
6258142389677499|02|29|510
6258142389677846|07|28|692
6258142389673340|04|28|510
6258142389675428|07|27|805
6258142389675717|02|28|743
6258142389678273|09|28|920
6258142389677002|02|26|524
6258142389676665|10|28|145
6258142389670155|11|28|240
6258142389675956|05|25|124
6258142389674140|12|30|136
6258142389675931|10|25|997
6258142389677648|04|25|949
6258142389672318|02|29|953
6258142389679594|04|27|185
6258142389674280|04|28|292
6258142389670437|09|29|510
6258142389671732|06|30|683
6258142389678224|08|30|671
6258142389679354|07|29|529
6258142389671492|09|27|436
6258142389674181|07|30|893
6258142389672029|08|29|777
6258142389675972|08|26|339
6258142389673480|03|28|527
6258142389677663|01|26|682
6258142389675253|02|26|817
6258142389671013|04|30|385
6258142389670197|02|29|325
6258142389676632|11|28|637
6258142389678323|11|28|493
6258142389671211|09|29|901
6258142389679495|02|28|995
6258142389676442|10|29|972
6258142389672227|04|27|211
6258142389676715|04|30|454
6258142389673191|01|25|346
6258142389671393|11|25|403
6258142389674769|05|30|929
6258142389670312|06|27|392
6258142389672508|01|28|164
6258142389670403|11|26|306
6258142389670007|10|26|998
6258142389670155|01|30|681
6258142389674777|05|29|217
6258142389676178|11|27|131
6258142389675154|07|30|891
6258142389674629|10|25|715
6258142389677671|08|27|263
6258142389673795|02|26|622
6258142389677648|11|27|889
6258142389675709|09|30|697
6258142389675725|05|27|404
6258142389679891|12|25|965
6258142389679255|01|26|485
6258142389674819|10|29|300
6258142389676715|09|26|221
6258142389677275|09|25|468
6258142389673878|01|29|394
6258142389677788|03|29|529
6258142389678240|10|25|749
